Country,Code,Year,Childhood vaccination policy,country-code,color
Suriname,SUR,2019,Mandatory,740.0,#66c2a5
Sweden,SWE,2019,Recommended,752.0,#8da0cb
Switzerland,CHE,2019,Recommended,756.0,#8da0cb
Syria,SYR,2019,Mandatory,760.0,#66c2a5
Taiwan,TWN,2019,Mandatory,158.0,#66c2a5
Tajikistan,TJK,2019,Mandatory,762.0,#66c2a5
Tanzania,TZA,2019,No source found,834.0,grey
Thailand,THA,2019,No source found,764.0,grey
Togo,TGO,2019,No source found,768.0,grey
Trinidad and Tobago,TTO,2019,Mandatory,780.0,#66c2a5
Tunisia,TUN,2019,Mandatory,788.0,#66c2a5
Turkey,TUR,2019,Recommended,792.0,#8da0cb
Turkmenistan,TKM,2019,Mandatory,795.0,#66c2a5
Uganda,UGA,2019,Mandatory,800.0,#66c2a5
Ukraine,UKR,2019,Mandatory,804.0,#66c2a5
United Arab Emirates,ARE,2019,Mandatory for School Entry,784.0,yellow
United Kingdom,GBR,2019,Recommended,826.0,#8da0cb
United States,USA,2019,Mandatory for School Entry,840.0,yellow
United States Virgin Islands,VIR,2019,Mandatory for School Entry,850.0,yellow
Uruguay,URY,2019,Mandatory,858.0,#66c2a5
Uzbekistan,UZB,2019,Mandatory,860.0,#66c2a5
Venezuela,VEN,2019,Mandatory,862.0,#66c2a5
Vietnam,VNM,2019,Mandatory,,#66c2a5
Yemen,YEM,2019,No source found,887.0,grey
Zambia,ZMB,2019,No source found,894.0,grey
Zimbabwe,ZWE,2019,No source found,716.0,grey
